Url,Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of facades,Swimming pool,Building condition,Construction year,Street frontage width,Number of frontages,Surroundings type,Living room,Dressing room,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water & electricity",Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Photovoltaic solar panels,Thermic solar panels,Common water heater,Double glazing,Planning permission obtained,Type of building,Obligation to build,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Tenement building,Address,External reference
https://www.immoweb.be/en/classified/house/for-sale/laeken/1020/11116075,11116075,laeken,1020,285000,house,house,for-sale,6,124,1,0,0,,,,,0,Good,1918,,,,,0,0,0,0,0,0,Connected,0,364,G,79 kg CO₂/m²,,Gas,0,0,0,1,,,,,,,,,0,Rue Darwin 49A,84098588
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1020/10925477,10925477,bruxelles,1020,575000,house,apartment-block,for-sale,7,325,1,0,0,10,,81,,0,Good,1906,,2,Urban,,,,,,,,Connected,1,842,G,169 kg CO₂/m²,,Gas,,,,1,,,,,,,,,1,Place de l'ancienne Barrière 1,5595734
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1020/11060170,11060170,bruxelles,1020,688000,house,house,for-sale,3,200,1,0,0,,500,600,,0,As new,,,4,,,,,,,,,Connected,1,435,G,87 kg CO₂/m²,,Gas,,,,1,,,,,,,,,0,Rue Basse 21-23 Bte15 b1,5720790
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/11132231,11132231,bruxelles,1000,499000,house,mixed-use-building,for-sale,3,123,1,0,0,,,40,,0,Good,,,2,,,,,,,,,Connected,1,,,,,Gas,,,,,,,,,,,,,1,Rue Royale 178,5842819
https://www.immoweb.be/en/classified/villa/for-sale/bruxelles/1020/11117023,11117023,bruxelles,1020,840000,house,villa,for-sale,6,438,1,0,1,100,320,674,,0,Just renovated,1979,11 m,4,,,,,,,,,,1,255,E,,,Gas,,,,1,,,,,,,,,0,Place des chasseurs Ardennais 24-26,9738 - 654659161
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/brussels-city/1000/10938334,10938334,brussels-city,1000,545000,house,mixed-use-building,for-sale,2,284,1,0,0,,,142,,0,Good,1958,,2,Urban,,,,,,,,Connected,1,,,,,Gas,,,,1,1,,,0,0,0,Possible flood zone,,1,Steenweg 299,5601343
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1020/10982371,10982371,bruxelles,1020,420000,house,house,for-sale,4,200,1,1,0,52,,118,,0,Good,,8 m,2,Urban,,,,,,,,Connected,1,462,G,92 kg CO₂/m²,,Gas,,,,1,,,,,,0,Non flood zone,,0,Parklaan 59/1,5602024
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/brussel/1020/10917565,10917565,brussel,1020,835000,house,mixed-use-building,for-sale,,425,1,0,0,120,,,,0,To be done up,1958,7 m,3,"Living area (residential, urban or rural)",,0,0,0,0,0,0,Connected,1,756,G,128 kg CO₂/m²,,Gas,0,0,0,0,,All kind,0,,0,0,Non flood zone,Mixed living area (accommodation & economic activities),1,,
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11002024,11002024,bruxelles,1000,675000,house,house,for-sale,4,200,1,0,0,1,1,165,,0,Good,,,2,"Living area (residential, urban or rural)",,0,0,0,0,0,0,Connected,1,361,G,72 kg CO₂/m²,,Gas,0,0,0,1,,All kind,,,,,,,0,"Av. W. Churchill, 246 bte7 246 246 246",Quint
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/11122981,11122981,bruxelles,1000,1100000,house,mixed-use-building,for-sale,6,,1,0,0,,,93,,0,Good,1900,5.5 m,2,Isolated,1,,,,,,,Connected,1,,,,,Gas,,,,1,,,,,,,,,1,rue Edison 37,5842280
https://www.immoweb.be/en/classified/house/for-sale/laeken/1020/10909575,10909575,laeken,1020,429000,house,house,for-sale,5,180,1,0,0,,65,179,,0,To renovate,1938,,2,"Living area (residential, urban or rural)",1,,,,,,,,,209,D,41 kg CO₂/m²,,,,,,,,,,,,,Non flood zone,,0,Avenue de L'amarante 39,5587853
https://www.immoweb.be/en/classified/house/for-sale/laeken/1020/11058037,11058037,laeken,1020,490000,house,house,for-sale,7,300,1,0,0,10,50,185,,0,To be done up,1925,6 m,2,"Living area (residential, urban or rural)",1,,,,,,,,1,316,F,63 kg CO₂/m²,,Gas,,,,,,,,,,,Non flood zone,"Living area (residential, urban or rural)",0,Av.de la Brise 46,5716662
https://www.immoweb.be/en/classified/apartment-block/for-sale/laeken/1020/10813672,10813672,laeken,1020,749000,house,apartment-block,for-sale,8,350,1,0,0,,150,270,,0,Good,1937,,2,"Living area (residential, urban or rural)",,,,,,,,,,163,D,32 kg CO₂/m²,,Gas,,,,,,,,,,,,,1,Avenue de L'amarante 39,5525384
